"","TR","ClosestCarbonTaxRevenue","CarbonTaxLevel","CarbonTaxDeltaCarbon","CarbonTaxDeltaDD","ClosestSlaughterTaxRevenue","SlaughterTaxLevel","SlaughterTaxDeltaCarbon","SlaughterTaxDeltaDD","SCAUThreshold"
"1",1,1.0025247849057,0.37,-3.27913850956482,-0.00294130655630404,0.993881046161825,0.034,-0.231177587723295,-0.0356574939714349,0.0931636954870811
"2",11,11.0002079659458,4.11,-36.2850159708158,-0.0326231688931637,10.9953508386045,0.381,-2.61342938594522,-0.40583829117194,0.0902203168491099
"3",21,21.0099709188587,7.95,-69.8977170137708,-0.0630069668618995,21.0059901056832,0.738,-5.10796815142201,-0.799016264733993,0.088028438023358
"4",31,30.990083546681,11.88,-103.993005965986,-0.0940092003799114,30.987198511127,1.105,-7.71838511856275,-1.21689253853945,0.0857387562676121
"5",41,40.9993367677639,15.93,-138.789114289414,-0.125862127131896,40.9993858784277,1.486,-10.4769626545185,-1.66610372369975,0.0833065097844495
"6",51,50.9939365408354,20.09,-174.152296032523,-0.158482835647498,51.00743558119,1.882,-13.3948122998375,-2.15039390939439,0.0807051508731723
"7",61,61.0022583491148,24.38,-210.199627127474,-0.192024609904367,61.0116007955517,2.296,-16.4970600458023,-2.67645839375054,0.0779664840903098
"8",71,71.0030909900243,28.8,-246.871269091091,-0.226484510575657,71.0106904486371,2.732,-19.8151669400779,-3.25309144158324,0.0750200165818771
"9",81,81.0837206287589,33.4,-284.509354976522,-0.26224940785584,81.0945355672313,3.2,-23.4239445035681,-3.89847657191339,0.0718011825701279
"10",91,91.0470140405459,38.1,-322.387162802122,-0.298697235419006,91.0817842604256,3.7,-27.3140809890618,-4.6183481384599,0.068309474176568
"11",101,101.082053645722,43,-361.229703397336,-0.336605194675144,101.078726081277,4.25,-31.5998195627444,-5.44532195991453,0.0645230297513167
"12",111,110.962367909717,48,-400.159377460102,-0.375203913814124,111.051097252597,4.87,-36.374491472783,-6.41750607599595,0.0602063379524798
"13",121,121.052211127293,53.3,-440.620901246869,-0.4160427149797,120.994060786699,5.6,-41.7902386688722,-7.60432094022747,0.0554834760258948
"14",131,130.941576626413,58.7,-480.969787641971,-0.457589719876684,131.01820716097,6.54,-48.1437395511596,-9.16268178826922,0.0497210189955793
"15",141,140.969699338509,64.4,-522.576088117618,-0.501398051961976,141.00569732401,7.94,-55.5641341759808,-11.4140760363693,0.042795357345734
"16",151,150.925208406375,70.3,-564.554497609027,-0.54671768472634,151.008371279708,10.92,-61.9109962734113,-15.295607295646,0.0340800910845162
"17",161,160.944457991154,76.5,-607.454343907864,-0.594342534805225,161.000939153681,18.56,-48.9909304223557,-20.3543526691507,0.0282623040012933
"18",171,170.987851611487,83,-651.078468704442,-0.644306607087221,170.997221317036,29.32,-20.1858594220345,-23.1095339038134,0.0280830726059179
"19",181,181.019953281545,89.8,-695.224586308879,-0.696653691396696,171.493517729295,29.89,-18.736649277213,-23.2003872860571,0.0300611422627302
"20",191,191.009963396206,96.9,-739.68837117648,-0.75143791246125,171.493517729295,29.89,-18.736649277213,-23.2003872860571,0.0321151653870823
"21",201,201.062875819355,104.4,-784.85702925164,-0.809499663464714,171.493517729295,29.89,-18.736649277213,-23.2003872860571,0.0342157217207152
"22",211,211.014599255858,112.2,-829.892387542978,-0.870146030513784,171.493517729295,29.89,-18.736649277213,-23.2003872860571,0.0363254354927492
"23",221,220.968891188629,120.4,-875.142793961683,-0.934249082972584,171.493517729295,29.89,-18.736649277213,-23.2003872860571,0.0384622666433389
"24",231,231.011506024993,129.1,-920.864373281332,-1.00271278760327,171.493517729295,29.89,-18.736649277213,-23.2003872860571,0.0406406411656751
"25",241,240.998686588798,138.2,-966.249869170821,-1.07488872730767,171.493517729295,29.89,-18.736649277213,-23.2003872860571,0.042824491270906
