"","TR","CarbonTaxLevel","SlaughterTaxLevel","SCAUThreshold"
"1",0,0.01,0.001,0.0402055138551792
"3",20,7.6,0.69,0.0479015565385925
"5",40,16.09,1.558,0.04897754813338
"7",60,25.54,2.661,0.0503694042130376
"9",80,36,4.08,0.0520800652917709
"11",100,47.7,5.9,0.0543945161443839
"13",120,60.5,8.25,0.0570796141500265
"15",140,74.6,11.25,0.0603013273668412
"17",160,90,15.04,0.0639974466070126
"19",180,106.7,19.76,0.0681119030206821
"21",200,124.8,25.51,0.0726173784013337
"23",220,144.3,32.39,0.0774333878672811
"25",240,165.2,40.48,0.0824904908732867
"27",260,187.6,49.82,0.0877509767739807
"29",280,211.4,60.39,0.0931378719914038
"31",300,236.7,72.16,0.0986281739074474
"33",320,263.6,85.08,0.104204299562199
"35",340,291.9,90,0.109464641962393
